Open,High,Low,Close,Adj Close,Volume
142.029999,142.289993,141.169998,141.919998,141.919998,10428900
142.160004,142.580002,141.619995,142.050003,142.050003,6927700
141.589996,141.660004,140.580002,140.809998,140.809998,9301700
139.970001,140.190002,138.910004,140.029999,140.029999,11333400
140.270004,140.300003,139.210007,139.610001,139.610001,9128300
140.139999,140.529999,139.699997,140.410004,140.410004,10330300
140.5,141.119995,140.419998,140.610001,140.610001,6131000
140.5,140.710007,140.320007,140.460007,140.460007,6416100
140.720001,140.759995,139.600006,139.789993,139.789993,8306200
140.130005,140.300003,139.720001,140.199997,140.199997,3879700
140.589996,141,140.5,140.529999,140.529999,4155300
141.020004,141.740005,140.929993,141.529999,141.529999,6174800
142.789993,142.830002,141.399994,141.860001,141.860001,6011500
141.25,141.25,140.399994,140.639999,140.639999,5441600
140,140.630005,139.779999,140.25,140.25,3835100
140.539993,141.039993,139.550003,141.020004,141.020004,6992900
141.979996,142.690002,141.889999,142.429993,142.429993,7050900
142.210007,142.899994,142.009995,142.559998,142.559998,8090000
142.259995,142.449997,141.740005,142.149994,142.149994,4740300
140.649994,140.889999,139.380005,139.850006,139.850006,11782300
140.119995,140.789993,140,140.449997,140.449997,6416500
140.110001,140.199997,137.600006,138.270004,138.270004,15214200
137.729996,138.330002,137.389999,137.389999,137.389999,10377400
137.610001,137.789993,136.440002,137.059998,137.059998,7037300
137.029999,137.589996,136.190002,137.429993,137.429993,6448600
137.800003,138.220001,137.639999,137.979996,137.979996,8776000
138.389999,138.940002,137.869995,138.559998,138.559998,5220500
138.029999,138.419998,137.970001,138.210007,138.210007,10106700
138.440002,138.850006,138.300003,138.619995,138.619995,5717900
138.130005,138.970001,138.130005,138.690002,138.690002,4824400
138.529999,139,138.100006,138.759995,138.759995,6892100
138.389999,138.559998,137.770004,138,138,4196500
138.369995,138.460007,137.660004,137.740005,137.740005,3620300
137.320007,137.619995,136.990005,137.080002,137.080002,6415800
136.979996,137.800003,136.580002,137.740005,137.740005,4724400
137.029999,137.210007,136.830002,137.009995,137.009995,4111000
137.100006,138.130005,137.080002,137.860001,137.860001,4516400
137.320007,138.089996,137.300003,137.789993,137.789993,8274700
139.039993,139.570007,138.970001,139.110001,139.110001,8481700
139.160004,139.169998,138.589996,138.919998,138.919998,6322300
138.800003,139.449997,138.789993,139,139,5671500
137.759995,137.830002,137.399994,137.619995,137.619995,8714500
137.800003,137.809998,137.449997,137.580002,137.580002,2711600
138.25,138.330002,137.740005,137.970001,137.970001,3240800
138.199997,139.300003,138.119995,138.919998,138.919998,6097500
139.779999,139.850006,137.880005,138.429993,138.429993,8815100
138.520004,139.210007,137.979996,139.050003,139.050003,6964300
139.199997,139.389999,138.800003,139.039993,139.039993,4646100
139.020004,139.300003,138.850006,139.009995,139.009995,4287500
138.860001,139.25,138.809998,139.020004,139.020004,3607600
139.039993,139.550003,138.869995,139.380005,139.380005,4975000
139.369995,139.520004,138.979996,139.520004,139.520004,4463900
139.529999,139.960007,139.529999,139.949997,139.949997,5180900
140.440002,141.330002,140.429993,141.270004,141.270004,5303700
142.059998,142.470001,141.910004,142.380005,142.380005,8342500
142.259995,142.729996,142.169998,142.330002,142.330002,5119900
142.559998,142.800003,142.460007,142.630005,142.630005,4810600
143.309998,143.600006,142.800003,142.899994,142.899994,5313500
143.860001,144.210007,143.399994,143.949997,143.949997,7733800
145.75,146.320007,145.399994,145.860001,145.860001,12272800
148.440002,148.479996,146.949997,147.389999,147.389999,14403300
147.570007,148.139999,147.429993,147.970001,147.970001,7978500
148.490005,148.610001,146.139999,146.860001,146.860001,22248500
146.070007,146.410004,145.440002,146.029999,146.029999,10292300
146.220001,146.990005,146.169998,146.910004,146.910004,6183300
146.350006,146.380005,145.779999,145.820007,145.820007,7593800
145.419998,145.809998,145.080002,145.690002,145.690002,6589700
146.210007,146.729996,145.820007,146.539993,146.539993,6510000
146.270004,146.470001,145.759995,146.309998,146.309998,6069100
146.509995,146.990005,146.309998,146.580002,146.580002,11121100
145.770004,146.860001,145.550003,146.740005,146.740005,6086100
146.679993,146.809998,146.380005,146.789993,146.789993,4778200
147,147.619995,146.619995,147.119995,147.119995,8419800
146.899994,148.380005,146.889999,147.979996,147.979996,9919900
149.240005,149.320007,148.460007,148.990005,148.990005,9988100
148.360001,148.559998,147.529999,147.660004,147.660004,7543100
147.699997,148.559998,147.610001,148.460007,148.460007,5013100
148.690002,149.309998,148.009995,148.470001,148.470001,9119500
148.880005,149.679993,148.809998,149.330002,149.330002,14788300
148.660004,148.779999,147.679993,148.360001,148.360001,9115100
146.970001,147.029999,145.800003,146.429993,146.429993,10525600
146.380005,146.809998,146.160004,146.610001,146.610001,6160700
147.279999,147.630005,147,147.399994,147.399994,4819800
147.830002,148.179993,147.339996,147.789993,147.789993,6379300
148.210007,148.449997,147.910004,148.169998,148.169998,5793600
148.029999,148.160004,147.009995,147.660004,147.660004,5179400
147.419998,147.809998,147.160004,147.539993,147.539993,5040600
148.240005,148.580002,147.949997,148.380005,148.380005,7082100
148.740005,149.130005,148.630005,149,149,5345400
149.880005,151.089996,149.470001,150.910004,150.910004,11524900
151,151.820007,150.820007,151.789993,151.789993,9269800
152,152.830002,151.949997,152.410004,152.410004,8457300
154.429993,155.220001,154.179993,154.699997,154.699997,16344500
158.5,158.529999,155.360001,156.089996,156.089996,27171000
155.119995,156.080002,152.910004,153.300003,153.300003,28091500
153.820007,155.279999,152.899994,153.970001,153.970001,17912500
155.580002,156.270004,153.899994,154,154,27878500
152.710007,152.770004,147.050003,148.380005,148.380005,42707100
150,150.729996,149.039993,149.199997,149.199997,16295400
150.839996,155.240005,150.740005,153.889999,153.889999,28687700
154.399994,154.960007,153.699997,154.160004,154.160004,12315500
156.059998,157.619995,155.720001,157.490005,157.490005,17973500
158.330002,159.25,154.539993,157.550003,157.550003,26973400
158.600006,159.369995,156.330002,157.809998,157.809998,24868700
156.179993,156.410004,154.389999,154.479996,154.479996,18811500
156.25,156.5,153.610001,153.929993,153.929993,18159900
151.529999,151.550003,146.850006,147.789993,147.789993,32893400
149.419998,149.600006,141.580002,143.279999,143.279999,35177200
137.559998,142.960007,136.119995,141.639999,141.639999,24496000
140.179993,146.199997,139.929993,143.559998,143.559998,24490300
141.75,142.880005,138.5,140.699997,140.699997,21953400
139.080002,140.5,137.850006,138.039993,138.039993,20828900
140.710007,141.169998,139.139999,140.110001,140.110001,20056000
142.679993,146.929993,142.279999,146.300003,146.300003,28275200
153.5,155.660004,152.050003,153.399994,153.399994,20743500
152.580002,152.880005,151.009995,151.300003,151.300003,16457200
153.309998,154.809998,152.080002,153.240005,153.240005,12778200
153,153.550003,152,152.25,152.25,9824600
152.410004,153.080002,151.570007,152.919998,152.919998,12080900
151.360001,151.800003,147.970001,148.050003,148.050003,13319500
148.199997,150.080002,147.850006,149.449997,149.449997,11827400
151.199997,152.5,150.699997,151.899994,151.899994,9188300
152.229996,153.089996,151.660004,152.649994,152.649994,8469100
154.160004,157.220001,153.960007,156.880005,156.880005,14739300
155.330002,156.139999,154.380005,156.039993,156.039993,9195400
155.910004,155.940002,154.589996,154.649994,154.649994,7600800
158.080002,159.080002,157.210007,158.690002,158.690002,18123000
159.169998,162.380005,158.630005,161.410004,161.410004,20549200
162.729996,164.419998,161.779999,162.679993,162.679993,17095100
161.800003,162.539993,160.809998,161.850006,161.850006,12141900
161.880005,163.149994,160.649994,161.710007,161.710007,9233200
159.720001,160.070007,158.119995,158.570007,158.570007,14652700
158.619995,160.220001,158.460007,159.699997,159.699997,10688700
157.600006,159.210007,157.039993,158.610001,158.610001,12478100
160.5,161.740005,160.419998,161.729996,161.729996,12937100
162.389999,163.600006,161.839996,163.339996,163.339996,14928500
163.130005,163.309998,160.889999,162.639999,162.639999,11203600
161.880005,162,160.410004,161.559998,161.559998,9033500
160.889999,160.979996,159.160004,160.839996,160.839996,10383000
160.100006,161.850006,159.759995,161.729996,161.729996,12232300
160.220001,160.820007,158.130005,158.800003,158.800003,13633500
158,160.449997,157.800003,159.779999,159.779999,10914300
160.330002,160.949997,159.910004,160.339996,160.339996,7986200
160.160004,161.100006,159.330002,161.020004,161.020004,10563100
158.990005,159.809998,158.100006,158.949997,158.949997,13352000
159.5,161.960007,159.360001,161.389999,161.389999,13691700
161.080002,162,160,160.419998,160.419998,12244600
160.339996,160.710007,158.889999,159.419998,159.419998,11207400
160.300003,160.949997,159.720001,160.039993,160.039993,10406000
160.940002,161.619995,160.539993,161.580002,161.580002,10950400
161.529999,163.339996,161.509995,163.009995,163.009995,17084400
164.020004,164.800003,163.080002,163.929993,163.929993,13918800
164.330002,164.5,162.410004,162.690002,162.690002,14137900
163.600006,164.429993,163.039993,164.259995,164.259995,8535800
164.539993,164.960007,163.889999,164.649994,164.649994,10666100
163.460007,163.580002,161.369995,162.25,162.25,11786500
162.880005,163.460007,162.740005,163.007004,163.007004,7577124
