Date,Open,High,Low,Close,Adj Close,Volume
2019-05-22,14.020000,14.020000,14.020000,14.020000,14.020000,0
2019-05-23,14.120000,14.120000,14.120000,14.120000,14.120000,0
2019-05-24,14.150000,14.150000,14.150000,14.150000,14.150000,0
2019-05-28,14.060000,14.060000,14.060000,14.060000,14.060000,0
2019-05-29,14.100000,14.100000,14.100000,14.100000,14.100000,0
2019-05-30,14.280000,14.280000,14.280000,14.280000,14.280000,0
2019-05-31,14.700000,14.700000,14.700000,14.700000,14.700000,0
2019-06-03,15.150000,15.150000,15.150000,15.150000,15.150000,0
2019-06-04,15.250000,15.250000,15.250000,15.250000,15.250000,0
2019-06-05,15.310000,15.310000,15.310000,15.310000,15.310000,0
2019-06-06,15.470000,15.470000,15.470000,15.470000,15.470000,0
2019-06-07,15.510000,15.510000,15.510000,15.510000,15.510000,0
2019-06-10,15.290000,15.290000,15.290000,15.290000,15.290000,0
2019-06-11,15.330000,15.330000,15.330000,15.330000,15.330000,0
2019-06-12,15.480000,15.480000,15.480000,15.480000,15.480000,0
2019-06-13,15.650000,15.650000,15.650000,15.650000,15.650000,0
2019-06-14,15.700000,15.700000,15.700000,15.700000,15.700000,0
2019-06-17,15.830000,15.830000,15.830000,15.830000,15.830000,0
2019-06-18,15.960000,15.960000,15.960000,15.960000,15.960000,0
2019-06-19,16.120001,16.120001,16.120001,16.120001,16.120001,0
2019-06-20,16.670000,16.670000,16.670000,16.670000,16.670000,0
2019-06-21,16.760000,16.760000,16.760000,16.760000,16.760000,0
2019-06-24,17.170000,17.170000,17.170000,17.170000,17.170000,0
2019-06-25,17.000000,17.000000,17.000000,17.000000,17.000000,0
2019-06-26,17.010000,17.010000,17.010000,17.010000,17.010000,0
2019-06-27,16.950001,16.950001,16.950001,16.950001,16.950001,0
2019-06-28,17.030001,17.030001,17.030001,17.030001,17.030001,0
2019-07-01,16.680000,16.680000,16.680000,16.680000,16.680000,0
2019-07-02,16.980000,16.980000,16.980000,16.980000,16.980000,0
2019-07-03,17.049999,17.049999,17.049999,17.049999,17.049999,0
2019-07-05,16.910000,16.910000,16.910000,16.910000,16.910000,0
2019-07-08,16.860001,16.860001,16.860001,16.860001,16.860001,0
2019-07-09,17.000000,17.000000,17.000000,17.000000,17.000000,0
2019-07-10,17.260000,17.260000,17.260000,17.260000,17.260000,0
2019-07-11,17.160000,17.160000,17.160000,17.160000,17.160000,0
2019-07-12,17.280001,17.280001,17.280001,17.280001,17.280001,0
2019-07-15,17.299999,17.299999,17.299999,17.299999,17.299999,0
2019-07-16,17.230000,17.230000,17.230000,17.230000,17.230000,0
2019-07-17,17.670000,17.670000,17.670000,17.670000,17.670000,0
2019-07-18,18.059999,18.059999,18.059999,18.059999,18.059999,0
2019-07-19,17.940001,17.940001,17.940001,17.940001,17.940001,0
2019-07-22,18.049999,18.049999,18.049999,18.049999,18.049999,0
2019-07-23,17.910000,17.910000,17.910000,17.910000,17.910000,0
2019-07-24,18.020000,18.020000,18.020000,18.020000,18.020000,0
2019-07-25,17.790001,17.790001,17.790001,17.790001,17.790001,0
2019-07-26,17.740000,17.740000,17.740000,17.740000,17.740000,0
2019-07-29,17.940001,17.940001,17.940001,17.940001,17.940001,0
2019-07-30,17.900000,17.900000,17.900000,17.900000,17.900000,0
2019-07-31,17.320000,17.320000,17.320000,17.320000,17.320000,0
2019-08-01,17.920000,17.920000,17.920000,17.920000,17.920000,0
2019-08-02,17.840000,17.840000,17.840000,17.840000,17.840000,0
2019-08-05,18.080000,18.080000,18.080000,18.080000,18.080000,0
2019-08-06,18.350000,18.350000,18.350000,18.350000,18.350000,0
2019-08-07,18.840000,18.840000,18.840000,18.840000,18.840000,0
2019-08-08,19.080000,19.080000,19.080000,19.080000,19.080000,0
2019-08-09,18.969999,18.969999,18.969999,18.969999,18.969999,0
2019-08-12,18.910000,18.910000,18.910000,18.910000,18.910000,0
2019-08-13,18.639999,18.639999,18.639999,18.639999,18.639999,0
2019-08-14,18.700001,18.700001,18.700001,18.700001,18.700001,0
2019-08-15,18.920000,18.920000,18.920000,18.920000,18.920000,0
2019-08-16,18.780001,18.780001,18.780001,18.780001,18.780001,0
2019-08-19,18.549999,18.549999,18.549999,18.549999,18.549999,0
2019-08-20,18.930000,18.930000,18.930000,18.930000,18.930000,0
2019-08-21,18.920000,18.920000,18.920000,18.920000,18.920000,0
2019-08-22,18.860001,18.860001,18.860001,18.860001,18.860001,0
2019-08-23,19.400000,19.400000,19.400000,19.400000,19.400000,0
2019-08-26,19.440001,19.440001,19.440001,19.440001,19.440001,0
2019-08-27,19.940001,19.940001,19.940001,19.940001,19.940001,0
2019-08-28,19.980000,19.980000,19.980000,19.980000,19.980000,0
2019-08-29,19.549999,19.549999,19.549999,19.549999,19.549999,0
2019-08-30,19.620001,19.620001,19.620001,19.620001,19.620001,0
2019-09-03,19.900000,19.900000,19.900000,19.900000,19.900000,0
2019-09-04,20.240000,20.240000,20.240000,20.240000,20.240000,0
2019-09-05,19.410000,19.410000,19.410000,19.410000,19.410000,0
2019-09-06,18.990000,18.990000,18.990000,18.990000,18.990000,0
2019-09-09,18.620001,18.620001,18.620001,18.620001,18.620001,0
2019-09-10,18.480000,18.480000,18.480000,18.480000,18.480000,0
2019-09-11,18.590000,18.590000,18.590000,18.590000,18.590000,0
2019-09-12,18.490000,18.490000,18.490000,18.490000,18.490000,0
2019-09-13,18.190001,18.190001,18.190001,18.190001,18.190001,0
2019-09-16,18.250000,18.250000,18.250000,18.250000,18.250000,0
2019-09-17,18.700001,18.700001,18.700001,18.700001,18.700001,0
2019-09-18,18.430000,18.430000,18.430000,18.430000,18.430000,0
2019-09-19,18.639999,18.639999,18.639999,18.639999,18.639999,0
2019-09-20,18.860001,18.860001,18.860001,18.860001,18.860001,0
2019-09-23,19.129999,19.129999,19.129999,19.129999,19.129999,0
2019-09-24,19.370001,19.370001,19.370001,19.370001,19.370001,0
2019-09-25,18.860001,18.860001,18.860001,18.860001,18.860001,0
2019-09-26,18.680000,18.680000,18.680000,18.680000,18.680000,0
2019-09-27,18.340000,18.340000,18.340000,18.340000,18.340000,0
2019-09-30,17.959999,17.959999,17.959999,17.959999,17.959999,0
2019-10-01,18.030001,18.030001,18.030001,18.030001,18.030001,0
2019-10-02,18.209999,18.209999,18.209999,18.209999,18.209999,0
2019-10-03,18.200001,18.200001,18.200001,18.200001,18.200001,0
2019-10-04,18.430000,18.430000,18.430000,18.430000,18.430000,0
2019-10-07,18.309999,18.309999,18.309999,18.309999,18.309999,0
