timestamp,open,high,low,close,volume
2020-05-22 16:00:00,118.3900,118.6500,118.3300,118.3900,202436
2020-05-22 15:55:00,118.5200,118.5500,118.3400,118.4000,120994
2020-05-22 15:50:00,118.3000,118.4700,118.2900,118.4700,51599
2020-05-22 15:45:00,118.2600,118.3600,118.1550,118.2850,52477
2020-05-22 15:40:00,118.2700,118.3400,118.2150,118.2600,28159
2020-05-22 15:35:00,118.1200,118.3400,118.1000,118.2850,46359
2020-05-22 15:30:00,118.2100,118.2100,118.0400,118.1200,47201
2020-05-22 15:25:00,118.2400,118.3100,118.0700,118.2300,49440
2020-05-22 15:20:00,118.3800,118.3900,118.2300,118.2300,33229
2020-05-22 15:15:00,118.5500,118.5700,118.3600,118.3650,39794
2020-05-22 15:10:00,118.4700,118.5447,118.4300,118.5400,28874
2020-05-22 15:05:00,118.3800,118.5100,118.3300,118.4700,23079
2020-05-22 15:00:00,118.3202,118.4250,118.3050,118.3800,21426
2020-05-22 14:55:00,118.4010,118.4100,118.2800,118.3200,24873
2020-05-22 14:50:00,118.3300,118.4400,118.3100,118.4100,33594
2020-05-22 14:45:00,118.5200,118.5500,118.3100,118.3200,44693
2020-05-22 14:40:00,118.5600,118.5600,118.4100,118.5300,19116
2020-05-22 14:35:00,118.4255,118.5650,118.3900,118.5550,23495
2020-05-22 14:30:00,118.4200,118.4795,118.3860,118.4300,19228
2020-05-22 14:25:00,118.5248,118.5300,118.4000,118.4000,24616
2020-05-22 14:20:00,118.4900,118.5422,118.4600,118.5000,12314
2020-05-22 14:15:00,118.5300,118.5800,118.4500,118.4800,18065
2020-05-22 14:10:00,118.4800,118.5550,118.4100,118.5140,23506
2020-05-22 14:05:00,118.2800,118.4800,118.2500,118.4700,22275
2020-05-22 14:00:00,118.1200,118.3000,118.1156,118.2700,11919
2020-05-22 13:55:00,118.2050,118.2100,118.0700,118.1400,16747
2020-05-22 13:50:00,118.2700,118.3300,118.2100,118.2100,23634
2020-05-22 13:45:00,118.2600,118.2750,118.1700,118.2400,17007
2020-05-22 13:40:00,118.3600,118.3900,118.2600,118.2600,16003
2020-05-22 13:35:00,118.4100,118.4470,118.3500,118.3500,16528
2020-05-22 13:30:00,118.3900,118.4600,118.3500,118.4100,21050
2020-05-22 13:25:00,118.2200,118.4000,118.2100,118.3842,17197
2020-05-22 13:20:00,118.0900,118.2300,118.0700,118.2300,26672
2020-05-22 13:15:00,118.1000,118.1700,118.0800,118.0900,23135
2020-05-22 13:10:00,118.1400,118.1800,118.0800,118.0850,20289
